,Gender and Race,Percent,,,,,,,,,,,,,,,,,,,,
TOTAL,"122,843",,,,,,,,,,,,,,,,,,,,,
Male,"61,544",50.1%,,,,,,,,,,,,,,,,,,,,
Female,"61,299",49.9%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
White Alone,"96,063",78.2%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Black or African American Alone,"5,528",4.5%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native Alone,"4,300",3.5%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Asian Alone,"5,896",4.8%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander Alone,123,0.1%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Two or More Races,"9,582",7.8%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino,"9,213",7.5%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
