,Authorized Total Stength,Authorized Sworn Strength,Authorized Non-Sworn Strength,Actual Total Strength,Actual Sworn Strength,Actual Non-Sworn Strength,Actual Sworn Line-Level Strength,Actual Sworn First-Line Supervisor Strength,Actual Sworn Mid-Level Supervisor Strength,Actual Sworn Executive-Level Strength,Actual Non-Sworn Line-Level Strength,Actual Non-Sworn Supervisory Strength
TOTAL,251,180,71,240,178,62,161,21,7,3,54,8
,,,,,,,,,,,,
White Alone,,,,217,158,59,143,20,7,2,51,8
Male,,,,162,145,17,117,19,7,2,13,4
Female,,,,55,13,42,12,1,0,0,38,4
Black or African American Alone,,,,12,9,3,7,1,0,1,3,0
Male,,,,11,9,2,7,1,0,1,2,0
Female,,,,1,0,1,0,0,0,0,1,0
American Indian or Alaska Native Alone,,,,3,3,0,3,0,0,0,0,0
Male,,,,3,3,0,3,0,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
Asian / Pacific Islander,,,,6,6,0,6,0,0,0,0,0
Male,,,,6,6,0,6,0,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
Hispanic or Latino,,,,2,2,0,2,0,0,0,0,0
Male,,,,2,2,0,2,0,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
