,Gender and Race,Percent,,,,,,,,,,,,,,,,,,,,
TOTAL,"124,034",,,,,,,,,,,,,,,,,,,,,
Male,"62,141",50.1%,,,,,,,,,,,,,,,,,,,,
Female,"61,893",49.9%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
White Alone,"96,995",78.2%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Black or African American Alone,"5,582",4.5%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native Alone,"4,341",3.5%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Asian Alone,"5,954",4.8%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander Alone,124,0.1%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Two or More Races,"9,675",7.8%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino,"9,303",7.5%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
