,Authorized Total Stength,Authorized Sworn Strength,Authorized Non-Sworn Strength,Actual Total Strength,Actual Sworn Strength,Actual Non-Sworn Strength,Actual Sworn Line-Level Strength,Actual Sworn First-Line Supervisor Strength,Actual Sworn Mid-Level Supervisor Strength,Actual Sworn Executive-Level Strength,Actual Non-Sworn Line-Level Strength,Actual Non-Sworn Supervisory Strength
TOTAL,243,179,64,229,169,60,151,19,7,4,53,7
,,,,,,,,,,,,
White Alone,,,,204,148,56,132,19,6,3,49,7
Male,,,,148,136,12,109,18,6,3,9,3
Female,,,,56,12,44,11,1,0,0,40,4
Black or African American Alone,,,,10,8,2,6,0,1,1,2,0
Male,,,,9,8,1,6,0,1,1,1,0
Female,,,,1,0,1,0,0,0,0,1,0
American Indian or Alaska Native Alone,,,,6,5,1,5,0,0,0,1,0
Male,,,,5,5,0,5,0,0,0,0,0
Female,,,,1,0,1,0,0,0,0,1,0
Asian / Pacific Islander,,,,5,5,0,5,0,0,0,0,0
Male,,,,5,5,0,5,0,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
Hispanic or Latino,,,,4,3,1,3,0,0,0,1,0
Male,,,,3,3,0,3,0,0,0,0,0
Female,,,,1,0,1,0,0,0,0,1,0
,,,,,,,,,,,,
,,,,,,,,,,,,
