CaseID,ReportedDate,OfficerRace,OfficerGender,OfficerAge,UCR_CODE,Statute,Description,BaisMotivation,SubjectRole,SubjectRace,SubjectGender,SubjectAge
-334223,1/1/2019,White,Male,51,80N  ,PUBLICDOC,PUBLIC DOCUMENTATION,No Bias,Witness,White,Female,67
-334223,1/1/2019,White,Male,51,80N  ,PUBLICDOC,PUBLIC DOCUMENTATION,No Bias,Victim,White,Female,22
-334223,1/1/2019,White,Male,51,80N  ,PUBLICDOC,PUBLIC DOCUMENTATION,No Bias,Suspect,White,Male,20
-334224,1/1/2019,White,Male,29,88B  ,MWARR,WARRANT-MUNICIPAL,No Bias,Suspect,Black,Male,49
-334236,1/1/2019,White,Male,34,90E  ,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,No Bias,Suspect,White,Female,22
-334238,1/1/2019,White,Male,32,35B  ,M15-413,POSSESSION OF DRUG PARAPHERNALIA,No Bias,Suspect,White,Female,20
-334242,1/1/2019,White,Male,27,35A  ,63-2.402.B.2,POSSESSION OF MARIJUANA,No Bias,Suspect,White,Male,19
-334242,1/1/2019,White,Male,27,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,No Bias,Suspect,White,Male,19
-334242,1/1/2019,White,Male,27,35A  ,63-2.402.B.2,POSSESSION OF MARIJUANA,No Bias,Suspect,Unknown,Male,18
-334242,1/1/2019,White,Male,27,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,No Bias,Suspect,Unknown,Male,18
-334227,1/1/2019,White,Male,34,86G  ,FOUNDPROP,FOUND PROPERTY,No Bias,Other,White,Male,29
-334229,1/1/2019,White,Male,34,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,Black,Female,17
-334229,1/1/2019,White,Male,34,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Reporting Person,White,Male,54
-334235,1/1/2019,White,Male,38,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Female,63
-334235,1/1/2019,White,Male,38,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Reporting Person,White,Female,
-334225,1/1/2019,White,Male,48,270,21-1451,EMBEZZLEMENT,No Bias,Reporting Person,White,Female,27
-334233,1/1/2019,White,Male,32,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Female,19
-334239,1/1/2019,Asian,Male,28,90Z  ,M15-406,UNDER INFLUENCE/NARC,No Bias,Suspect,White,Female,25
-334240,1/1/2019,White,Female,40,13A  ,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),No Bias,Victim,White,Female,29
-334240,1/1/2019,White,Female,40,13A  ,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),No Bias,Suspect,White,Male,29
