,Authorized Total Stength,Authorized Sworn Strength,Authorized Non-Sworn Strength,Actual Total Strength,Actual Sworn Strength,Actual Non-Sworn Strength,Actual Sworn Line-Level Strength,Actual Sworn First-Line Supervisor Strength,Actual Sworn Mid-Level Supervisor Strength,Actual Sworn Executive-Level Strength,Actual Non-Sworn Line-Level Strength,Actual Non-Sworn Supervisory Strength
TOTAL,243,179,64,225,165,60,136,18,7,4,53,7
,,,,,,,,,,,,
White Alone,,,,200,144,56,117,18,6,3,49,7
Male,,,,146,133,13,107,17,6,3,10,3
Female,,,,54,11,43,10,1,0,0,39,4
Black or African American Alone,,,,10,8,2,6,0,1,1,2,0
Male,,,,9,8,1,6,0,1,1,1,0
Female,,,,1,0,1,0,0,0,0,1,0
American Indian or Alaska Native Alone,,,,6,5,1,5,0,0,0,1,0
Male,,,,5,5,0,5,0,0,0,0,0
Female,,,,1,0,1,0,0,0,0,1,0
Asian / Pacific Islander,,,,3,3,0,3,0,0,0,0,0
Male,,,,3,3,0,3,0,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
Hispanic or Latino,,,,6,5,1,5,0,0,0,1,0
Male,,,,5,5,0,5,0,0,0,0,0
Female,,,,1,0,1,0,0,0,0,1,0
,,,,,,,,,,,,
,,,,,,,,,,,,
