Inc: IA No,Inc: Occurred date,Inc: Occurred time,Inc: Occurred day of week,Inc: Service rendered,Inc: Use-of-force: Reason,Inc: UOF: Type force used,Off: ID number,Inc: Officer was injured,Inc: Officer went to hospital,Snap: # years employed,Snap: Officer age,Off: Race,Off: Sex,Inc: Disposition,Inc: Officer assement of cit condition,Inc: Citizen was arrested,Inc: Citizen was injured,Inc: Citizen went to hospital,Cit: ID number,Cit: Race,Cit: Sex
UF2020-025,7/14/2020,1:03,Tuesday,911 call,Active Fleeing,Tackle,0135,No,No,20,57,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,No,3673,Black,Male
UF2020-025,7/14/2020,1:03,Tuesday,911 call,Active Fleeing,Verbal Commands,0047,No,No,10,35,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,No,3673,Black,Male
UF2020-025,7/14/2020,1:03,Tuesday,911 call,Active Fleeing,Verbal Commands,0025,No,No,9,38,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,No,3673,Black,Male
UF2020-026,6/25/2020,21:19,Thursday,Disturbance,Active Resister Armed,Taser Use,0137,No,No,4,34,White,Male,No Misconduct,Mental Health,Yes,Yes,Yes,3570,White,Male
UF2020-027,6/18/2020,1:00,Thursday,Welfare Check,Active Fleeing,Taser Use,0015,No,No,3,29,White,Male,No Misconduct,Impairment - Drug,Yes,No,Yes,3659,White,Male
UF2020-028,6/12/2020,2:00,Friday,Arrest,Active Resister Unarmed,Arm Bar Takedown,0087,Yes,Yes,8,45,White,Male,No Misconduct,Highly Agitated/Upset,Yes,Yes,Yes,3657,Native Am,Male
UF2020-028,6/12/2020,2:00,Friday,Arrest,Active Resister Unarmed,Vascular Restraint,0110,Yes,Yes,1,32,White,Male,No Misconduct,Highly Agitated/Upset,Yes,Yes,Yes,3657,Native Am,Male
UF2020-029,6/17/2020,20:54,Wednesday,Noise Complaint,Active Resister Unarmed,Vascular Restraint,0137,Yes,No,4,34,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,3660,White,Female
UF2020-029,6/17/2020,20:54,Wednesday,Noise Complaint,Active Resister Unarmed,Arm Bar Takedown,0137,Yes,No,4,34,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,3660,White,Female
UF2020-029,6/17/2020,20:54,Wednesday,Noise Complaint,Active Resister Unarmed,Verbal Commands,0137,Yes,No,4,34,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,3660,White,Female
UF2020-030,6/8/2020,0:55,Monday,Disturbance,Active Resister Unarmed,Taser Use,0135,No,No,20,57,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,3648,White,Male
