,Authorized Total Stength,Authorized Sworn Strength,Authorized Non-Sworn Strength,Actual Total Strength,Actual Sworn Strength,Actual Non-Sworn Strength,Actual Sworn Line-Level Strength,Actual Sworn First-Line Supervisor Strength,Actual Sworn Mid-Level Supervisor Strength,Actual Sworn Executive-Level Strength,Actual Non-Sworn Line-Level Strength,Actual Non-Sworn Supervisory Strength
TOTAL,251,171,71,224,163,61,141,21,7,4,53,8
,,,,,,,,,,,,
White Alone,,,,204,145,59,127,18,7,3,51,8
Male,,,,151,133,18,106,18,6,3,14,4
Female,,,,53,12,41,11,0,1,0,37,4
Black or African American Alone,,,,9,7,2,5,1,0,1,2,0
Male,,,,8,7,1,5,1,0,1,1,0
Female,,,,1,0,1,0,0,0,0,1,0
American Indian or Alaska Native Alone,,,,2,2,0,2,0,0,0,0,0
Male,,,,2,2,0,2,0,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
Asian / Pacific Islander,,,,6,6,0,5,1,0,0,0,0
Male,,,,6,6,0,5,1,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
Hispanic or Latino,,,,3,3,0,2,1,0,0,0,0
Male,,,,3,3,0,2,1,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
