,Applications Received,Disqual on PHS,Withdrawn before Stability,No Shows at Physical,Participated in Stablity Rating,Successfully Completed Stability Rating,Participated in Physical Assessment,Succesfully Completed Physical Assessment,Participated in Written Test,Successfully Completed Written Test,Staff Review,Participated in Oral Board,Successfully Completed Oral Board,Participated in Background Investigation,Successfully Completed background Investigation,Participated in Confirmation Board,Successfully Completed Confirmation Board,Participated in Polygraph Examination,Successfully Completed Polygraph,Participated in MMPI Examination,Successfully Completed MMPI Examination,Participated in Pension Physical,Successfully Completed Pension Physical,Final Offers Given,Final Offers Accepted
TOTAL,23,1,1,3,18,16,16,13,13,13,13,13,13,13,10,13,10,9,9,9,9,9,8,8,8
,,,,,,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native Alone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black or African American Alone,5,0,0,1,4,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0
Male,4,0,0,0,4,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0
Female,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Native Hawaiian/Pacific Islander ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hispanic or Latino,3,1,0,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Male,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Female,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Alone,9,0,0,1,8,8,8,6,6,6,6,6,6,6,5,6,5,4,4,4,4,4,4,4,4
Male,9,0,0,1,8,8,8,6,6,6,6,6,6,6,5,6,5,4,4,4,4,4,4,4,4
Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two or More Races,3,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Male,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Female,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,3,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
