,Gender and Race,Percent,,,,,,,,,,,,,,,,,,,,
TOTAL,"122,837",,,,,,,,,,,,,,,,,,,,,
Male,"60,742",49.4%,,,,,,,,,,,,,,,,,,,,
Female,"62,095",50.6%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
White Alone,"94,830",77.2%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Black or African American Alone,"5,528",4.5%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native Alone,"4,913",4.0%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Asian Alone,"6,019",4.9%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander Alone,123,0.1%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Some Other Race,"1,965",1.6%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Two or More Races,"9,458",7.7%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino,"10,441",8.5%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
